cliente_id,idade,renda_familiar,regiao,escolaridade,tem_negocio_proprio,score_credito,data_cadastro,usa_orientacao_financeira
1,40,2226.29,Zona Sul,Fundamental,True,431,2024-02-11,False
2,40,1387.56,Zona Oeste,Superior,False,750,2024-06-18,False
3,45,945.29,Zona Sul,Técnico,False,499,2024-12-08,False
4,28,2826.72,Zona Norte,Fundamental,False,653,2024-02-27,True
5,42,1858.67,Zona Norte,Superior,False,612,2024-10-04,False
6,31,4166.2,Baixada,Técnico,False,597,2024-08-20,True
7,53,1334.61,Zona Norte,Superior,True,494,2024-02-23,False
8,28,3205.38,Zona Norte,Médio,False,596,2024-07-31,True
9,25,2152.61,Grande ABC,Médio,False,587,2024-08-07,True
10,35,3599.09,Zona Oeste,Médio,False,545,2024-11-29,True
11,36,4912.94,Zona Leste,Fundamental,False,450,2024-07-19,True
12,43,1957.79,Zona Leste,Médio,False,383,2024-01-10,True
13,44,2445.08,Baixada,Médio,False,657,2024-06-25,False
14,41,2180.37,Zona Sul,Fundamental,True,453,2024-05-26,False
15,39,1119.91,Zona Leste,Médio,False,698,2024-05-06,False
16,44,4419.77,Grande ABC,Médio,True,510,2024-12-01,True
17,48,2400.84,Zona Norte,Médio,True,597,2024-04-13,True
18,34,5131.31,Zona Norte,Médio,False,541,2024-12-17,True
19,38,3825.13,Zona Leste,Fundamental,True,539,2024-08-28,True
20,54,2821.07,Zona Norte,Médio,False,631,2024-01-01,True
21,42,2637.45,Zona Oeste,Fundamental,False,508,2024-09-29,True
22,35,1858.1,Zona Leste,Médio,True,528,2024-11-20,True
23,36,2930.58,Zona Sul,Superior,False,379,2024-01-10,True
24,49,2481.49,Zona Leste,Fundamental,False,523,2024-07-20,True
25,38,969.16,Zona Leste,Fundamental,False,500,2024-06-29,True
26,46,1316.67,Zona Leste,Médio,True,606,2024-04-13,True
27,27,2505.02,Zona Sul,Médio,True,515,2024-07-30,False
28,50,2601.26,Zona Sul,Superior,True,566,2024-07-13,True
29,40,1177.21,Zona Leste,Médio,True,449,2024-05-30,False
30,28,1082.61,Zona Sul,Superior,True,506,2024-08-16,True
31,34,4488.64,Zona Norte,Médio,False,404,2024-06-29,True
32,34,1222.27,Baixada,Técnico,False,455,2024-11-23,False
33,29,1289.31,Zona Oeste,Técnico,False,504,2024-04-16,True
34,43,1460.89,Baixada,Fundamental,True,616,2024-05-25,True
35,25,7128.22,Zona Leste,Fundamental,True,675,2024-02-05,True
36,29,4250.98,Zona Leste,Superior,True,454,2024-12-15,True
37,42,3103.17,Zona Leste,Fundamental,True,520,2024-07-05,True
38,38,4100.36,Zona Sul,Fundamental,False,493,2024-04-19,True
39,50,2302.54,Grande ABC,Médio,False,459,2024-01-30,False
40,41,2808.42,Zona Leste,Superior,False,606,2024-03-11,True
41,34,2479.88,Zona Norte,Médio,False,517,2024-02-26,False
42,40,5742.26,Zona Sul,Médio,False,349,2024-04-15,True
43,38,2093.19,Zona Leste,Médio,False,658,2024-04-29,True
44,31,2454.02,Zona Norte,Médio,False,601,2024-09-18,False
45,40,3061.05,Zona Leste,Médio,False,478,2024-10-28,True
46,45,2511.03,Zona Leste,Superior,True,664,2024-08-23,False
47,41,1152.06,Grande ABC,Superior,False,565,2024-06-19,True
48,45,2805.36,Zona Norte,Médio,False,630,2024-09-11,True
49,35,1432.46,Zona Leste,Fundamental,True,493,2024-09-27,True
50,35,854.02,Zona Leste,Médio,True,457,2024-03-20,True
51,36,3161.71,Zona Sul,Superior,True,383,2024-09-16,True
52,34,2349.79,Zona Sul,Médio,False,613,2024-04-30,True
53,53,3090.34,Zona Sul,Fundamental,False,554,2024-03-25,False
54,38,2014.47,Zona Norte,Médio,False,514,2024-09-17,True
55,27,7367.97,Zona Norte,Médio,False,530,2024-05-01,True
56,27,5398.18,Zona Leste,Médio,False,479,2024-08-01,True
57,30,1025.69,Zona Sul,Técnico,False,651,2024-07-18,True
58,41,3533.48,Zona Leste,Médio,False,497,2024-10-21,True
59,47,3422.75,Zona Norte,Fundamental,True,598,2024-01-12,True
60,42,3157.43,Zona Leste,Médio,False,559,2024-04-17,True
61,36,2052.81,Zona Sul,Fundamental,False,419,2024-05-28,False
62,36,1679.21,Zona Norte,Superior,False,607,2024-05-09,False
63,25,5224.41,Zona Oeste,Médio,False,534,2024-06-17,True
64,44,2941.83,Zona Sul,Fundamental,True,616,2024-04-24,False
65,34,3712.23,Zona Leste,Fundamental,False,688,2024-06-06,True
66,33,3964.98,Zona Norte,Fundamental,False,557,2024-07-17,False
67,41,2338.67,Zona Leste,Superior,True,490,2024-02-07,True
68,33,2146.3,Baixada,Médio,True,510,2024-08-27,True
69,44,2338.79,Zona Norte,Fundamental,False,527,2024-08-20,True
70,26,2550.76,Baixada,Médio,False,543,2024-10-11,False
71,47,1787.0,Zona Sul,Médio,False,571,2024-03-16,True
72,52,2353.14,Zona Sul,Médio,True,607,2024-08-17,True
73,39,5295.26,Zona Leste,Superior,True,589,2024-10-18,True
74,28,4603.29,Zona Norte,Superior,False,519,2024-09-13,True
75,42,4170.97,Zona Sul,Fundamental,False,491,2024-06-17,False
76,46,2289.78,Zona Norte,Médio,False,572,2024-07-08,True
77,35,4564.11,Grande ABC,Médio,False,581,2024-08-04,True
78,31,2422.79,Zona Sul,Fundamental,False,538,2024-12-12,True
79,27,1942.12,Zona Norte,Fundamental,False,544,2024-05-13,True
80,48,1830.48,Zona Sul,Fundamental,True,520,2024-02-10,True
81,27,3619.32,Grande ABC,Técnico,True,594,2024-09-11,True
82,45,2191.69,Zona Oeste,Médio,False,547,2024-05-24,False
83,38,2252.2,Zona Norte,Superior,True,521,2024-05-29,True
84,48,3098.22,Zona Leste,Médio,True,467,2024-01-18,True
85,31,2278.69,Zona Oeste,Médio,True,609,2024-12-07,False
86,43,1270.98,Zona Oeste,Médio,True,580,2024-06-02,True
87,30,1252.34,Zona Oeste,Fundamental,False,679,2024-11-15,False
88,44,2968.54,Zona Sul,Fundamental,True,534,2024-10-11,True
89,34,3436.96,Zona Oeste,Fundamental,False,570,2024-12-08,True
90,36,914.9,Grande ABC,Fundamental,False,533,2024-08-13,True
91,40,2012.17,Zona Leste,Médio,True,375,2024-01-14,False
92,50,2551.9,Zona Sul,Fundamental,True,597,2024-09-26,False
93,36,3094.21,Zona Norte,Fundamental,True,508,2024-08-19,False
94,44,1482.9,Zona Oeste,Médio,False,534,2024-09-05,True
95,45,2426.71,Zona Leste,Superior,True,519,2024-12-11,True
96,48,1341.26,Zona Leste,Fundamental,False,556,2024-01-31,True
97,44,3139.65,Zona Sul,Fundamental,False,568,2024-01-01,True
98,26,2615.06,Baixada,Médio,False,376,2024-03-28,True
99,25,2122.91,Zona Leste,Fundamental,False,629,2024-01-01,True
100,36,4609.41,Grande ABC,Médio,False,534,2024-06-20,False
101,41,3012.88,Zona Norte,Médio,False,509,2024-11-18,False
102,40,3892.81,Baixada,Médio,False,471,2024-04-13,True
103,42,3307.76,Zona Oeste,Técnico,False,447,2024-04-10,False
104,46,875.9,Zona Leste,Médio,True,484,2024-05-14,True
105,32,3473.17,Zona Leste,Médio,False,564,2024-01-01,True
106,43,1929.16,Zona Norte,Fundamental,True,680,2024-11-08,True
107,44,3223.96,Grande ABC,Fundamental,True,525,2024-06-26,True
108,47,2014.77,Zona Leste,Médio,True,462,2024-11-19,True
109,38,2123.56,Zona Norte,Superior,True,516,2024-03-06,True
110,39,1103.83,Zona Oeste,Superior,True,514,2024-09-10,True
111,33,2475.55,Zona Norte,Superior,True,452,2024-04-29,False
112,35,3045.0,Zona Sul,Fundamental,False,544,2024-02-23,True
113,39,2650.7,Grande ABC,Médio,False,572,2024-05-24,True
114,44,2027.31,Zona Leste,Médio,False,449,2024-04-04,True
115,25,2626.76,Zona Sul,Técnico,False,424,2024-10-28,True
116,42,2129.77,Zona Norte,Superior,False,502,2024-07-17,True
117,34,2207.45,Zona Leste,Fundamental,True,535,2024-03-07,False
118,29,2367.92,Zona Sul,Médio,False,587,2024-12-23,False
119,48,1724.48,Zona Sul,Fundamental,False,501,2024-08-03,False
120,46,1050.35,Zona Sul,Superior,True,407,2024-04-22,False
121,51,1619.08,Zona Leste,Superior,False,522,2024-07-14,True
122,32,2970.13,Zona Oeste,Médio,False,438,2024-12-07,False
123,40,3611.24,Grande ABC,Médio,False,470,2024-10-08,True
124,49,1607.06,Zona Leste,Técnico,False,527,2024-05-05,False
125,45,2991.68,Zona Norte,Superior,True,582,2024-07-15,False
126,29,2301.68,Zona Leste,Médio,True,591,2024-08-12,True
127,26,2501.23,Zona Leste,Fundamental,False,552,2024-08-15,True
128,30,1571.11,Zona Oeste,Médio,False,519,2024-06-26,False
129,51,800.0,Zona Sul,Médio,True,426,2024-11-18,True
130,37,3860.7,Grande ABC,Técnico,True,617,2024-02-12,True
131,43,8000.0,Zona Norte,Técnico,True,476,2024-04-02,False
132,37,1757.72,Zona Leste,Fundamental,False,591,2024-02-04,True
133,37,4460.45,Zona Leste,Fundamental,True,432,2024-06-17,True
134,42,1751.13,Zona Leste,Médio,False,500,2024-09-25,False
135,26,5353.87,Zona Norte,Médio,False,523,2024-01-15,False
136,39,3114.17,Zona Norte,Fundamental,True,457,2024-09-28,True
137,44,3523.74,Zona Leste,Médio,False,589,2024-02-01,True
138,37,1557.98,Zona Sul,Médio,False,607,2024-05-28,False
139,46,1625.09,Zona Norte,Médio,True,527,2024-12-25,True
140,36,4712.19,Zona Sul,Médio,False,588,2024-10-20,True
141,35,1516.56,Zona Sul,Médio,True,473,2024-05-07,False
142,28,2359.57,Grande ABC,Médio,True,589,2024-01-17,True
143,39,6322.71,Zona Leste,Fundamental,False,442,2024-08-19,False
144,50,2293.28,Zona Norte,Médio,False,505,2024-06-20,False
145,36,2010.38,Zona Norte,Médio,False,590,2024-12-27,False
146,34,2712.61,Zona Oeste,Superior,True,545,2024-07-10,True
147,27,1448.9,Zona Oeste,Fundamental,True,632,2024-09-28,False
148,44,1571.14,Zona Leste,Médio,False,603,2024-02-06,False
149,25,3221.21,Zona Leste,Médio,False,598,2024-09-04,True
150,42,2310.64,Zona Norte,Fundamental,False,439,2024-03-01,False
151,26,1645.55,Zona Sul,Fundamental,False,535,2024-04-02,True
152,29,2915.06,Grande ABC,Técnico,True,544,2024-12-26,False
153,41,1970.76,Zona Norte,Superior,True,514,2024-05-01,False
