cliente_id,idade,renda_familiar,regiao,escolaridade,tem_negocio_proprio,score_credito,data_cadastro,usa_orientacao_financeira,perfil
1,40,2226.29,Zona Sul,Fundamental,True,431,2024-02-11,False,C2
2,40,1387.56,Zona Oeste,Superior,False,750,2024-06-18,False,C1
3,45,945.29,Zona Sul,Técnico,False,499,2024-12-08,False,C2
4,28,2826.72,Zona Norte,Fundamental,False,653,2024-02-27,True,B1
5,42,1858.67,Zona Norte,Superior,False,612,2024-10-04,False,C2
6,31,4166.2,Baixada,Técnico,False,597,2024-08-20,True,B2
7,53,1334.61,Zona Norte,Superior,True,494,2024-02-23,False,C2
8,28,3205.38,Zona Norte,Médio,False,596,2024-07-31,True,B2
9,25,2152.61,Grande ABC,Médio,False,587,2024-08-07,True,C2
10,35,3599.09,Zona Oeste,Médio,False,545,2024-11-29,True,B2
11,36,4912.94,Zona Leste,Fundamental,False,450,2024-07-19,True,B2
12,43,1957.79,Zona Leste,Médio,False,383,2024-01-10,True,C3
13,44,2445.08,Baixada,Médio,False,657,2024-06-25,False,C1
14,41,2180.37,Zona Sul,Fundamental,True,453,2024-05-26,False,C2
15,39,1119.91,Zona Leste,Médio,False,698,2024-05-06,False,C1
16,44,4419.77,Grande ABC,Médio,True,510,2024-12-01,True,B2
17,48,2400.84,Zona Norte,Médio,True,597,2024-04-13,True,C2
18,34,5131.31,Zona Norte,Médio,False,541,2024-12-17,True,A2
19,38,3825.13,Zona Leste,Fundamental,True,539,2024-08-28,True,B2
20,54,2821.07,Zona Norte,Médio,False,631,2024-01-01,True,B2
21,42,2637.45,Zona Oeste,Fundamental,False,508,2024-09-29,True,B2
22,35,1858.1,Zona Leste,Médio,True,528,2024-11-20,True,C2
23,36,2930.58,Zona Sul,Superior,False,379,2024-01-10,True,B3
24,49,2481.49,Zona Leste,Fundamental,False,523,2024-07-20,True,C2
25,38,969.16,Zona Leste,Fundamental,False,500,2024-06-29,True,C2
